url,tld,is_phishing,url_length,num_dashes,num_digits,num_special_chars,path_segments,num_dots,num_underscores,num_dashes_in_hostname,double_slash_in_path,hostname_length,path_length,query_length,registration_time,creation_date,expiration_date,site_age_years,time_to_expire_years,registrar,country_registered,is_registered_in_ar
http://netvideo.com.ar,com.ar,False,22,0,0,0,0,2,0,0,False,15,0,0,10.8,2015-09-30T00:00:00,2026-07-15T00:00:00,9.82,0.97,nicar,Desconocido,False
http://neumaticoscentenario.com.ar,com.ar,False,34,0,0,0,0,2,0,0,False,27,0,0,12.77,2013-09-02T00:00:00,2026-06-07T00:00:00,11.9,0.87,nicar,Desconocido,False
http://newera.com.ar,com.ar,False,20,0,0,0,0,2,0,0,False,13,0,0,12.12,2013-11-04T00:00:00,2025-12-14T00:00:00,11.73,0.39,nicar,Desconocido,False
http://ngfederal.ar,ar,False,19,0,0,0,0,1,0,0,False,12,0,0,1.07,2025-02-19T19:48:17.764307,2026-03-16T00:00:00,0.42,0.64,nicar,Desconocido,False
http://nikon.com.ar,com.ar,False,19,0,0,0,0,2,0,0,False,12,0,0,12.19,2014-02-24T00:00:00,2026-04-30T00:00:00,11.42,0.76,nicar,Desconocido,False
http://nissiedenim.com.ar,com.ar,False,25,0,0,0,0,2,0,0,False,18,0,0,6.49,2019-10-03T12:18:41.570373,2026-03-30T00:00:00,5.81,0.68,nicar,Desconocido,False
http://nivea.com.ar,com.ar,False,19,0,0,0,0,2,0,0,False,12,0,0,11.5,2014-04-07T00:00:00,2025-10-02T00:00:00,11.3,0.19,nicar,Desconocido,False
http://no-brand.com.ar,com.ar,False,22,1,0,0,0,2,0,1,False,15,0,0,,,,,,,Desconocido,False
http://nodoshoes.com.ar,com.ar,False,23,0,0,0,0,2,0,0,False,16,0,0,,,,,,,Desconocido,False
http://norauto.com.ar,com.ar,False,21,0,0,0,0,2,0,0,False,14,0,0,,,,,,,Desconocido,False
http://nortur.ar,ar,False,16,0,0,0,0,1,0,0,False,9,0,0,,,,,,,Desconocido,False
http://nslp.com.ar,com.ar,False,18,0,0,0,0,2,0,0,False,11,0,0,,,,,,,Desconocido,False
http://nucleoshop.com.ar,com.ar,False,24,0,0,0,0,2,0,0,False,17,0,0,,,,,,,Desconocido,False
http://nucleusdoc.com.ar,com.ar,False,24,0,0,0,0,2,0,0,False,17,0,0,,,,,,,Desconocido,False
http://nuevashistorias.com.ar,com.ar,False,29,0,0,0,0,2,0,0,False,22,0,0,,,,,,,Desconocido,False
http://nuve.ar,ar,False,14,0,0,0,0,1,0,0,False,7,0,0,,,,,,,Desconocido,False
http://obsba.org.ar,org.ar,False,19,0,0,0,0,2,0,0,False,12,0,0,,,,,,,Desconocido,False
http://octavo-piso.com.ar,com.ar,False,25,1,0,0,0,2,0,1,False,18,0,0,,,,,,,Desconocido,False
http://oficinavirtualedesal.com.ar,com.ar,False,34,0,0,0,0,2,0,0,False,27,0,0,,,,,,,Desconocido,False
http://ogjrosario.com.ar,com.ar,False,24,0,0,0,0,2,0,0,False,17,0,0,,,,,,,Desconocido,False
http://okeefe.com.ar,com.ar,False,20,0,0,0,0,2,0,0,False,13,0,0,,,,,,,Desconocido,False
http://okeyrosario.com.ar,com.ar,False,25,0,0,0,0,2,0,0,False,18,0,0,,,,,,,Desconocido,False
http://olalamayoristas.com.ar,com.ar,False,29,0,0,0,0,2,0,0,False,22,0,0,,,,,,,Desconocido,False
http://omintartcapacitaciones.com.ar,com.ar,False,36,0,0,0,0,2,0,0,False,29,0,0,11.86,2014-03-21T00:00:00,2026-01-25T00:00:00,11.35,0.5,nicar,Desconocido,False
http://opinandosannicolas.ar,ar,False,28,0,0,0,0,1,0,0,False,21,0,0,6.0,2020-01-13T00:09:17.898006,2026-01-13T00:00:00,5.53,0.47,nicar,Desconocido,False
http://osdepym.com.ar,com.ar,False,21,0,0,0,0,2,0,0,False,14,0,0,11.69,2014-02-17T00:00:00,2025-10-25T00:00:00,11.44,0.25,nicar,Desconocido,False
http://osep.gob.ar,gob.ar,False,18,0,0,0,0,2,0,0,False,11,0,0,12.23,2013-12-30T00:00:00,2026-03-22T00:00:00,11.57,0.66,nicar,Desconocido,False
http://oslpasteur.com.ar,com.ar,False,24,0,0,0,0,2,0,0,False,17,0,0,11.56,2014-02-21T00:00:00,2025-09-09T00:00:00,11.43,0.13,nicar,Desconocido,False
http://osmedica.com.ar,com.ar,False,22,0,0,0,0,2,0,0,False,15,0,0,12.25,2013-09-05T00:00:00,2025-12-03T00:00:00,11.89,0.36,nicar,Desconocido,False
http://osmgp.gov.ar,gov.ar,False,19,0,0,0,0,2,0,0,False,12,0,0,12.29,2013-08-28T00:00:00,2025-12-08T00:00:00,11.91,0.37,nicar,Desconocido,False
http://ospacp.org.ar,org.ar,False,20,0,0,0,0,2,0,0,False,13,0,0,12.06,2013-10-01T00:00:00,2025-10-20T00:00:00,11.82,0.24,nicar,Desconocido,False
http://ospat.com.ar,com.ar,False,19,0,0,0,0,2,0,0,False,12,0,0,12.28,2014-02-19T00:00:00,2026-05-31T00:00:00,11.43,0.85,nicar,Desconocido,False
http://otero.com.ar,com.ar,False,19,0,0,0,0,2,0,0,False,12,0,0,12.22,2013-12-05T00:00:00,2026-02-22T00:00:00,11.64,0.58,nicar,Desconocido,False
http://owoko.com.ar,com.ar,False,19,0,0,0,0,2,0,0,False,12,0,0,12.05,2014-07-17T00:00:00,2026-08-03T00:00:00,11.03,1.02,nicar,Desconocido,False
